time,q1,q2,dq1,dq2,tau1,tau2
15.327,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.337,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.347,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.357,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.367,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.377,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.387,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.397,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.407,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.417,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.427,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.437,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.447,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.457,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.467,-0.032166,0.171364,-0.036631,-0.007326,0.0,1.718134
15.477,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.487,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.497,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.507,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.517,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.527,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.537,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.547,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.557,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.567,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.577,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.587,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.597,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.607,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.617,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.627,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.637,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.647,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.657,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.667,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.677,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.687,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.697,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.707,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.717,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.727,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.737,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.747,-0.032262,0.171364,-0.021978,-0.007326,0.0,1.718134
15.757,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.767,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.777,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.787,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.797,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.807,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.817,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.827,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.837,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.847,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.857,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.867,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.877,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.888,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.898,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.908,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.918,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.928,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.938,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.948,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.958,-0.032166,0.171364,0.007326,-0.007326,0.0,1.718134
15.968,-0.032166,0.171364,-0.021978,-0.007326,0.0,1.718134
15.978,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.988,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
15.998,-0.032166,0.171364,-0.007326,-0.007326,0.0,1.718134
